,Age,Gender,Height_CM,Weight_KG,Body_Fat,Diastolic,Systolic,Grip_Force,Sit_and_BendForward_CM,Sit_Up_Counts,Broad_Jump_CM,Performance
3633,24,M,171.0,63.1,16.3,83,141,37.1,17.2,51,240,Good
3634,55,F,155.4,53.3,27.9,69,111,21.4,25.1,23,134,Good
3635,22,M,175.2,72.2,11.0,69,128,53.1,25.7,55,270,Strong
3636,62,F,151.3,62.3,37.2,94,155,26.6,20.8,21,103,Strong
3637,25,M,180.3,78.9,12.1,78,129,52.1,20.6,57,239,Strong
3638,27,M,180.2,76.24,21.2,82,148,37.0,13.1,61,218,Good
3639,22,M,173.9,63.3,17.4,68,104,37.3,14.4,48,170,Average
3640,24,M,184.8,89.2,28.1,81,125,44.6,17.5,30,220,Weak
3641,29,M,173.3,83.6,21.3,72,113,47.9,9.7,59,194,Average
3642,60,F,160.6,90.3,48.9,81,156,29.2,12.8,7,101,Weak
3643,32,M,182.9,71.5,16.4,88,154,43.2,10.1,47,221,Good
3644,24,M,185.0,89.1,19.0,65,120,53.2,22.0,55,180,Weak
3645,36,M,183.0,106.6,21.1,97,158,49.0,12.7,50,233,Good
3646,26,M,180.0,71.3,20.0,70,126,36.1,9.2,49,248,Average
3647,44,F,152.4,50.9,26.6,95,184,23.6,20.3,37,192,Strong
3648,27,M,189.8,97.4,18.2,74,145,58.1,11.1,45,235,Average
3649,35,M,170.0,71.6,29.9,80,123,35.1,12.8,47,221,Good
3650,25,M,177.3,71.3,19.9,81,127,36.8,10.2,53,217,Good
3651,22,M,168.7,83.1,32.0,90,131,44.5,6.1,48,162,Weak
3652,29,F,165.0,50.5,21.0,76,122,34.3,31.3,40,200,Strong
3653,31,M,169.8,69.52,14.1,84,137,47.6,24.7,58,225,Average
3654,22,F,169.0,60.0,32.7,71,122,17.6,26.5,17,143,Weak
3655,22,F,169.3,48.4,18.9,65,125,31.2,34.5,25,145,Average
3656,21,F,166.3,67.0,36.0,89,130,30.1,20.6,51,169,Strong
3657,56,M,168.0,71.3,27.4,80,137,41.8,14.4,30,180,Good
3658,49,F,156.1,50.6,16.3,95,147,27.6,23.7,37,152,Strong
3659,26,F,168.1,70.2,26.0,70,120,28.1,17.9,42,167,Good
3660,33,F,157.3,59.0,30.9,87,146,30.5,21.1,31,174,Strong
3661,41,M,174.4,73.9,22.8,81,135,49.8,18.5,33,226,Average
3662,30,M,163.7,57.2,19.0,80,123,33.8,19.3,60,218,Good
3663,29,M,177.0,81.6,18.3,75,139,53.9,15.8,55,235,Strong
3664,26,F,166.2,58.5,30.8,65,114,17.9,4.5,17,142,Weak
3665,60,F,161.5,64.4,38.7,94,179,26.7,21.5,12,127,Average
3666,44,M,170.7,63.3,18.1,79,126,46.1,21.7,45,175,Good
3667,25,F,156.3,53.3,26.8,50,96,28.4,12.9,40,190,Average
3668,34,F,160.2,73.3,42.6,76,129,20.6,-2.8,5,135,Weak
3669,30,M,186.0,76.0,15.8,78,149,51.8,22.9,54,241,Strong
3670,26,M,176.0,70.6,20.8,62,114,41.2,16.3,57,228,Strong
3671,61,F,158.4,54.7,27.8,73,145,23.1,21.0,17,139,Strong
3672,22,M,173.5,71.9,26.9,76,122,36.8,-8.3,45,194,Weak
3673,34,M,165.8,63.1,20.2,92,153,47.8,-7.0,39,235,Weak
3674,27,M,175.0,94.1,26.2,91,151,57.8,25.0,48,211,Weak
3675,25,F,160.0,61.6,35.5,72,104,24.3,6.5,25,140,Weak
3676,29,M,183.9,83.5,22.9,66,132,53.4,21.7,46,222,Good
3677,35,F,160.9,66.6,36.6,85,136,25.8,15.1,20,161,Weak
3678,49,F,163.1,61.0,32.9,85,129,26.1,18.3,24,146,Average
3679,45,M,174.0,71.2,13.3,92,136,46.2,13.9,43,210,Strong
3680,25,F,161.7,61.3,32.3,99,131,26.9,24.1,29,183,Good
3681,35,M,179.3,70.1,14.0,72,120,45.1,18.9,50,272,Strong
3682,26,F,159.5,49.7,23.0,65,122,20.5,12.8,18,110,Weak
3683,56,M,168.8,74.7,24.2,89,159,34.6,4.3,34,178,Average
3684,36,M,175.5,83.6,25.0,83,116,45.1,13.6,50,221,Good
3685,42,F,167.9,67.0,23.3,75,127,36.4,18.8,31,178,Strong
3686,54,M,170.9,68.7,17.8,77,130,41.7,7.3,28,176,Average
3687,31,M,169.6,66.46,15.0,74,127,43.6,9.9,58,219,Good
3688,27,F,162.9,74.8,31.5,62,118,42.3,26.2,46,180,Strong
3689,24,M,171.8,83.3,25.2,79,145,45.2,-0.6,27,213,Weak
3690,35,F,163.5,62.5,21.2,81,117,23.5,0.4,18,151,Weak
3691,21,M,179.1,83.0,20.0,66,132,49.6,14.8,56,240,Good
3692,50,F,158.5,48.1,26.0,80,116,21.9,17.2,28,156,Good
3693,38,M,168.2,72.0,26.0,81,124,44.3,10.0,47,189,Weak
3694,21,M,183.6,78.0,13.8,86,149,49.9,21.3,63,250,Strong
3695,54,F,162.8,56.9,28.7,70,120,23.5,9.7,23,116,Weak
3696,23,M,185.3,80.3,21.7,82,143,42.7,11.0,64,162,Average
3697,58,F,160.7,52.9,27.5,89,136,22.3,11.9,16,133,Average
3698,41,M,174.2,75.5,23.5,98,150,47.1,15.3,43,211,Good
3699,24,M,176.9,62.1,17.5,71,100,36.2,8.1,24,214,Weak
3700,22,F,166.2,49.4,25.9,67,113,25.2,14.8,30,164,Average
3701,52,M,164.5,64.3,18.6,79,124,39.0,16.9,34,190,Good
3702,27,F,159.5,68.8,35.4,74,118,32.9,18.9,51,168,Strong
3703,21,F,154.6,45.2,28.20985,78,117,21.8,21.4,21,139,Weak
3704,21,F,154.8,49.16,18.1,69,113,23.2,16.7,40,194,Good
3705,62,F,144.9,50.8,33.9,68,128,14.9,10.7,2,83,Weak
3706,50,F,157.1,64.6,36.9,70,111,23.1,18.7,6,129,Weak
3707,22,F,167.9,61.0,21.1,67,115,28.2,21.3,55,188,Strong
3708,25,M,178.1,82.1,21.4,82,148,43.4,-2.0,44,194,Weak
3709,28,M,181.1,89.3,32.8,79,130,34.6,-8.3,39,187,Weak
3710,35,M,181.3,84.4,22.8,87,155,46.8,11.7,46,251,Weak
3711,62,F,158.1,69.1,41.3,76,130,22.6,22.4,1,81,Weak
3712,32,M,172.2,73.4,24.9,68,113,35.7,-9.3,48,239,Weak
3713,47,F,166.7,55.7,17.1,95,145,25.5,24.0,35,180,Strong
3714,21,F,167.3,63.5,26.5,71,118,35.4,29.9,48,183,Strong
3715,36,F,162.0,54.9,23.8,87,138,25.1,25.1,38,170,Strong
3716,36,M,170.0,63.6,12.0,96,127,45.2,16.6,62,233,Strong
3717,24,F,154.1,42.1,22.2,88,128,20.7,23.4,41,179,Good
3718,24,M,170.1,72.68,21.2,78,130,39.9,35.2,43,295,Average
3719,31,F,160.2,57.4,29.3,75,129,29.7,18.2,35,181,Strong
3720,21,F,165.4,63.5,33.6,90,138,28.8,19.8,41,172,Good
3721,35,F,169.0,59.1,23.5,79,120,27.3,18.6,47,185,Good
3722,26,M,164.2,70.9,22.1,75,125,52.0,11.6,61,227,Good
3723,23,F,157.5,50.8,24.2,86,121,29.3,21.7,42,185,Strong
3724,42,M,178.0,80.6,22.8,63,121,43.4,24.9,52,196,Good
3725,44,M,180.8,78.4,21.7,90,138,36.0,9.7,32,183,Weak
3726,44,M,168.2,71.6,17.7,86,144,49.1,15.4,51,214,Strong
3727,23,F,171.0,67.3,31.8,81,134,36.3,20.5,49,169,Strong
3728,27,M,174.2,75.6,15.6,78,132,49.7,18.4,57,240,Strong
3729,52,F,157.0,57.6,20.3,82,129,30.8,24.2,24,166,Strong
3730,63,M,179.6,71.4,12.97,92,148,42.8,14.3,33,195,Strong
3731,62,M,173.6,71.64,26.1,90,159,36.9,1.4,38,181,Weak
3732,30,M,175.2,91.5,24.3,80,134,45.3,16.4,45,212,Weak
3733,63,M,170.2,56.8,19.5,70,131,32.9,-12.5,22,170,Weak
3734,21,M,176.0,61.2,12.9,89,125,34.6,0.4,60,83,Weak
3735,35,F,169.5,73.2,25.1,85,135,41.0,17.3,42,174,Good
3736,22,M,168.9,69.0,21.3,60,111,36.5,18.0,56,237,Strong
3737,35,M,171.0,89.0,25.8,98,136,44.4,26.4,60,232,Good
3738,24,F,171.5,61.7,32.5,88,146,25.3,-2.2,18,149,Weak
3739,25,M,175.0,72.54,12.3,60,120,44.8,18.7,48,212,Good
3740,60,M,171.4,68.4,17.1,72,110,35.6,13.4,44,200,Strong
3741,22,M,180.0,87.1,24.9,84,155,34.5,5.9,34,221,Weak
3742,31,F,154.5,55.2,34.1,70,117,30.1,16.0,31,158,Good
3743,33,F,167.9,61.6,29.7,75,123,25.4,21.6,44,170,Average
3744,23,M,173.2,66.3,24.6,86,133,35.0,-5.0,30,180,Weak
3745,27,M,174.3,65.2,14.6,94,146,48.2,22.7,57,266,Good
3746,44,M,172.6,73.0,29.4,95,158,38.6,15.9,32,190,Average
3747,26,M,189.3,87.0,15.4,66,125,54.1,18.2,51,250,Strong
3748,55,M,173.5,74.4,24.6,85,132,39.4,13.7,41,195,Average
3749,27,M,168.9,70.2,25.3,77,136,44.5,7.6,57,194,Average
3750,39,F,160.6,54.8,28.7,54,109,27.9,19.3,32,155,Strong
3751,40,M,174.0,61.6,15.1,76,120,39.6,17.4,54,235,Strong
3752,27,F,162.2,48.3,14.1,56,110,17.7,15.2,25,172,Average
3753,36,F,168.6,59.1,31.4,74,106,21.4,21.6,13,154,Weak
3754,49,M,167.6,68.22,22.6,87,139,42.0,12.3,43,211,Good
3755,21,M,163.3,63.4,19.2,98,147,40.4,11.3,59,238,Good
3756,52,M,172.3,72.9,21.7,99,145,41.7,16.9,46,191,Good
3757,21,M,167.6,55.2,9.6,70,118,35.4,16.4,57,242,Strong
3758,48,F,167.0,61.4,18.6,85,134,26.1,24.4,41,178,Strong
3759,24,M,179.7,73.8,15.4,84,146,55.8,19.2,50,234,Good
3760,59,M,165.2,67.62,20.1,93,141,38.6,15.8,35,195,Average
3761,56,F,166.6,61.3,24.3,78,117,33.2,26.1,26,157,Strong
3762,38,M,176.7,67.7,22.4,90,139,42.4,7.7,38,195,Average
3763,51,F,156.6,47.7,18.6,81,106,23.9,19.9,26,135,Good
3764,21,M,178.6,65.1,12.2,42,107,40.7,21.2,52,265,Average
3765,52,F,160.4,56.7,29.7,86,114,27.7,22.4,19,106,Average
3766,22,F,158.0,53.8,30.1,77,108,17.8,5.8,22,115,Weak
3767,57,F,156.2,53.0,26.7,76,132,27.3,20.1,33,156,Strong
3768,35,M,181.0,78.5,15.4,87,146,45.5,-1.5,62,267,Weak
3769,22,M,175.9,70.9,16.3,82,147,43.0,8.4,53,251,Average
3770,56,M,171.0,76.5,25.7,85,139,39.4,10.5,45,179,Good
3771,42,F,164.2,64.5,26.8,67,113,27.0,20.6,35,164,Strong
3772,55,F,155.6,58.0,31.8,84,152,25.2,23.3,21,143,Strong
3773,50,F,160.8,62.5,30.9,81,122,27.0,15.2,15,141,Average
3774,32,M,168.7,73.3,20.2,97,151,48.3,21.5,51,246,Strong
3775,31,M,174.2,76.9,17.8,83,146,52.5,7.1,53,230,Average
3776,62,F,150.3,51.4,25.6,74,144,21.3,18.3,8,115,Average
3777,24,M,168.0,65.2,21.4,80,120,44.2,15.5,55,214,Good
3778,25,M,174.0,70.2,14.6,83,126,49.6,22.0,69,267,Strong
3779,29,F,163.1,54.1,21.3,69,110,27.6,25.9,61,202,Strong
3780,23,M,174.3,71.8,18.3,60,133,37.9,-1.9,51,243,Weak
3781,60,F,161.0,54.1,33.5,88,132,19.8,11.6,3,157,Weak
3782,48,F,158.0,48.0,25.6,64,108,21.8,20.0,23,130,Good
3783,54,F,160.9,58.7,30.8,68,103,26.3,23.0,23,117,Good
3784,44,M,167.1,57.9,24.8,72,114,22.5,16.3,24,170,Weak
3785,24,F,166.4,53.7,31.2,74,134,24.3,11.8,14,132,Weak
3786,64,F,156.7,56.4,32.1,99,145,19.0,19.8,19,132,Average
3787,23,F,167.7,58.2,26.2,77,139,26.98,22.6,66,191,Strong
3788,24,F,166.8,58.5,23.0,84,136,29.6,23.1,57,185,Strong
3789,33,M,170.3,70.1,22.3,83,123,45.9,9.3,45,222,Average
3790,49,F,162.2,56.0,25.0,85,133,31.9,18.2,30,180,Good
3791,64,F,151.6,71.6,45.9,87,158,20.0,13.6,0,57,Weak
3792,37,M,178.5,61.3,7.0,81,130,44.2,11.0,43,225,Good
3793,45,M,172.8,69.48,20.9,80,120,41.7,4.0,46,224,Weak
3794,23,F,161.5,59.2,30.0,81,126,28.9,22.9,48,183,Strong
3795,23,M,182.0,85.9,12.8,90,151,43.7,20.4,44,244,Average
3796,23,F,163.9,52.4,23.8,73,117,27.5,29.0,44,125,Average
3797,21,F,168.7,56.4,24.2,69,111,32.7,17.2,27,195,Average
3798,28,M,178.5,81.4,26.7,83,144,54.4,22.9,50,229,Good
3799,40,M,174.2,77.1,25.8,93,131,36.5,18.8,33,214,Weak
3800,21,F,157.6,53.1,24.8,51,130,27.8,25.3,59,193,Strong
3801,21,F,164.3,52.1,20.8,62,108,25.7,25.0,44,182,Strong
3802,25,M,178.8,74.5,21.5,85,136,35.3,25.5,36,218,Weak
3803,43,M,174.3,72.7,24.6,85,130,43.9,14.7,46,211,Average
3804,24,M,176.2,73.16,17.0,74,135,43.5,15.6,56,246,Good
3805,26,M,169.4,71.2,18.4,72,140,42.9,15.1,52,237,Strong
3806,26,F,156.0,64.3,32.3,69,126,34.9,25.5,49,182,Strong
3807,29,F,157.8,57.4,27.2,63,102,28.1,23.1,42,181,Strong
3808,38,F,162.1,64.1,20.8,80,148,30.0,17.8,41,210,Good
3809,28,M,175.6,77.8,13.7,88,136,56.2,12.0,54,179,Average
3810,60,M,166.4,69.8,21.8,67,134,42.8,22.9,27,192,Good
3811,33,M,180.6,80.9,13.6,91,150,46.6,20.9,57,230,Good
3812,60,M,166.5,60.9,22.5,103,140,37.3,17.4,42,205,Strong
3813,49,M,170.8,71.5,22.6,84,141,41.5,14.0,30,214,Average
3814,38,F,159.8,69.5,35.3,97,145,28.1,17.3,30,161,Weak
3815,26,F,167.7,63.4,27.6,78,133,34.5,17.3,36,182,Good
3816,21,F,161.9,62.4,33.5,86,141,28.3,23.7,36,167,Good
3817,60,F,160.6,59.18,31.0,74,148,26.7,21.8,15,141,Good
3818,55,M,170.9,70.8,26.1,88,142,41.0,12.0,32,180,Good
3819,29,M,171.8,67.16,21.7,78,120,32.7,13.2,35,200,Weak
3820,21,M,173.6,84.3,24.9,76,135,48.1,23.6,60,250,Good
3821,25,M,164.6,92.5,32.2,97,150,44.5,14.2,36,222,Weak
3822,29,M,170.0,69.7,23.2,63,154,39.6,14.1,57,223,Good
3823,57,F,161.0,50.02,15.0,76,119,22.3,20.5,38,153,Strong
3824,21,M,169.9,65.44,23.1,84,141,36.7,-1.6,45,183,Weak
3825,21,F,165.6,68.0,35.8,82,127,21.2,10.1,33,154,Weak
3826,34,M,169.5,70.9,18.1,96,125,55.0,16.4,48,244,Strong
3827,46,F,162.0,63.2,25.9,62,110,23.3,0.7,12,138,Weak
3828,54,M,171.9,91.7,36.6,80,120,46.1,8.6,30,158,Weak
3829,38,M,174.4,72.68,21.1,80,120,56.8,17.0,45,205,Average
3830,23,F,162.1,48.2,25.1,89,139,23.9,7.8,37,171,Weak
3831,21,M,176.4,66.2,8.3,63,120,40.9,21.8,57,198,Good
3832,22,M,176.6,80.5,13.8,72,107,40.6,-6.1,53,270,Weak
3833,37,M,169.9,85.2,34.1,97,156,34.3,2.2,18,205,Weak
3834,49,M,172.0,65.6,14.6,82,141,45.9,20.0,30,192,Average
3835,27,M,165.4,65.0,24.5,82,123,36.5,10.2,46,179,Good
3836,23,F,164.2,54.2,17.4,74,132,29.5,31.2,55,153,Good
3837,21,M,169.4,64.2,16.4,90,121,42.0,16.4,55,225,Good
3838,26,F,161.2,47.0,18.5,74,124,24.5,25.4,42,168,Strong
3839,34,M,178.0,116.3,36.0,95,135,56.7,-1.8,31,179,Weak
3840,41,F,161.8,57.3,27.4,83,121,25.7,19.4,31,160,Strong
3841,26,F,170.9,55.4,22.3,59,109,25.0,21.7,27,164,Good
3842,35,M,175.7,82.9,23.8,95,147,50.9,4.8,33,232,Average
3843,36,M,168.3,64.5,15.6,65,103,46.8,20.5,47,226,Strong
3844,27,M,171.9,94.7,37.5,97,146,42.1,-4.6,41,184,Weak
3845,23,M,171.1,70.8,10.8,53,124,53.5,7.6,60,238,Average
3846,22,M,181.8,77.0,15.0,74,115,36.8,-11.6,64,212,Weak
3847,61,M,170.3,67.1,23.1,91,152,32.6,14.9,34,177,Good
3848,43,F,171.4,65.6,27.6,79,132,28.7,23.2,26,147,Good
3849,25,M,174.2,63.0,12.6,93,140,47.5,15.1,52,219,Good
3850,37,M,179.5,84.6,20.9,97,151,59.1,13.7,43,227,Good
3851,57,M,164.6,64.2,25.0,86,124,42.9,16.4,39,192,Strong
3852,30,F,165.8,53.4,15.7,75,122,34.0,15.8,37,154,Good
3853,21,M,182.9,68.1,11.4,72,138,43.3,20.1,64,243,Strong
3854,35,M,168.4,71.9,19.1,109,138,53.6,16.2,42,232,Good
3855,54,M,173.4,56.9,15.9,87,136,46.0,7.5,44,181,Average
3856,22,F,175.5,73.7,35.5,73,132,27.5,11.3,30,160,Average
3857,60,M,168.7,73.2,17.3,62,103,39.1,9.1,30,181,Good
3858,23,F,154.3,49.0,25.7,51,98,25.2,24.3,43,168,Strong
3859,33,M,175.3,74.2,17.6,81,149,43.5,19.2,44,237,Good
3860,25,M,175.1,68.2,17.3,77,128,34.5,6.7,46,203,Average
3861,36,M,176.7,88.0,28.6,83,131,44.5,11.1,52,166,Weak
3862,26,M,163.3,64.2,23.2,89,145,32.2,6.1,50,198,Weak
3863,56,M,168.6,68.0,17.6,69,129,44.3,20.0,41,178,Strong
3864,29,F,167.8,63.5,28.3,77,123,22.7,26.5,44,133,Weak
3865,37,M,175.0,76.3,18.6,80,120,42.0,18.0,46,240,Average
3866,58,M,168.5,80.0,24.3,76,140,36.4,14.5,5,133,Weak
3867,22,F,158.5,53.0,26.0,79,129,25.9,21.7,34,172,Good
3868,44,M,177.4,69.9,9.5,74,130,42.4,-15.0,39,222,Weak
3869,33,F,157.7,53.9,28.5,65,113,27.5,16.8,52,160,Good
3870,25,F,161.7,54.4,26.7,81,141,22.5,15.8,26,146,Average
3871,24,M,163.0,62.4,14.2,98,156,48.0,19.5,65,236,Good
3872,22,M,166.9,90.3,31.4,87,120,42.6,2.9,57,194,Weak
3873,25,M,162.8,70.1,27.8,95,139,36.3,8.4,55,221,Weak
3874,25,M,179.0,82.6,20.8,78,126,52.4,22.0,59,235,Strong
3875,29,F,161.8,63.2,29.6,76,122,35.2,26.8,56,224,Strong
3876,21,F,161.5,57.2,32.3,68,103,29.4,12.6,40,157,Average
3877,31,F,163.0,53.6,30.5,69,106,27.1,29.9,42,219,Strong
3878,62,M,181.3,93.4,27.1,89,133,39.6,16.2,23,133,Weak
3879,57,M,168.5,53.3,21.1,76,118,32.3,10.3,25,162,Average
3880,52,F,156.1,52.3,35.7,67,119,25.7,-7.6,10,134,Weak
3881,22,M,174.5,73.2,17.1,74,122,60.3,7.6,53,204,Average
3882,37,F,155.3,45.22,25.7,88,137,21.6,15.6,44,181,Good
3883,38,F,162.7,54.0,25.2,96,150,24.8,21.8,33,166,Good
3884,64,M,162.8,58.5,14.6,89,136,31.2,19.7,45,203,Strong
3885,38,M,182.5,72.7,17.1,90,148,39.4,21.8,59,227,Strong
3886,55,F,149.0,52.7,36.4,75,123,22.3,16.5,1,93,Weak
3887,29,F,167.2,54.4,30.0,76,116,20.1,14.8,0,115,Weak
3888,32,F,154.4,55.8,32.2,90,135,26.1,23.2,35,163,Average
3889,28,M,171.5,69.6,24.2,99,153,36.2,6.6,43,220,Average
3890,25,M,168.6,65.6,18.9,74,106,47.1,12.9,60,202,Good
3891,43,M,173.0,69.0,16.1,96,131,41.6,9.5,45,199,Good
3892,63,F,153.2,56.0,42.0,76,127,23.7,23.8,0,103,Weak
3893,24,M,170.1,71.8,18.6,83,125,51.4,15.0,59,252,Good
3894,21,F,164.0,59.0,24.9,67,110,30.1,21.4,53,211,Strong
3895,37,F,154.7,44.4,21.7,65,108,22.5,21.5,34,169,Strong
3896,29,M,168.3,56.4,14.4,79,129,42.4,2.5,45,215,Weak
3897,34,F,168.3,58.1,17.9,70,120,28.8,20.6,32,138,Strong
3898,22,M,183.3,82.22,12.0,60,120,44.9,19.9,48,231,Good
3899,26,F,164.1,53.5,16.8,72,115,29.8,23.7,36,180,Good
3900,34,F,152.0,46.6,22.4,68,110,21.2,26.6,24,157,Average
3901,51,F,160.3,56.4,28.4,83,119,21.1,22.5,38,134,Good
3902,25,M,170.1,59.6,21.2,86,156,39.6,5.0,44,205,Weak
3903,57,F,154.4,52.9,25.3,83,148,30.3,24.9,48,162,Good
3904,46,M,172.0,61.0,20.4,78,112,36.9,0.0,27,130,Weak
3905,44,M,177.2,70.6,16.7,93,151,45.1,18.3,52,233,Strong
3906,21,F,165.5,54.72,19.9,95,132,31.5,19.3,37,188,Good
3907,27,M,168.6,81.5,20.3,65,120,43.1,18.3,67,226,Average
3908,41,F,162.1,54.5,32.8,86,138,21.7,12.5,33,145,Average
3909,25,F,157.4,56.8,24.6,63,101,26.7,22.7,54,175,Strong
3910,21,F,162.7,49.72,21.1,65,106,21.3,22.7,49,179,Strong
3911,22,M,175.4,64.1,17.0,88,134,31.1,9.7,60,211,Average
3912,31,M,167.5,70.4,18.3,71,125,46.4,18.8,55,243,Strong
3913,23,M,169.5,74.0,24.8,74,134,46.1,18.4,46,222,Average
3914,21,F,167.2,77.9,34.7,83,121,36.0,21.8,33,169,Good
3915,35,M,179.1,91.6,23.5,60,135,48.0,12.8,38,213,Average
3916,26,M,176.0,70.6,15.6,72,121,49.2,-6.1,47,246,Weak
3917,56,F,152.3,46.9,25.4,70,141,14.6,14.0,14,124,Average
3918,40,M,175.1,68.58,13.0,89,129,46.8,17.9,52,228,Strong
3919,21,M,175.8,71.24,16.0,65,127,38.3,18.1,47,227,Average
3920,27,M,172.6,71.9,19.5,59,122,48.7,19.1,55,223,Strong
3921,61,M,163.9,59.4,24.6,74,155,18.9,12.5,19,157,Weak
3922,45,M,167.4,67.46,15.8,71,114,40.4,13.6,38,219,Good
3923,25,F,152.0,49.5,27.5,74,120,28.0,22.0,56,173,Good
3924,35,M,171.3,77.2,10.8,99,146,56.0,25.0,48,228,Good
3925,25,F,168.1,53.6,15.1,70,125,30.9,23.8,46,204,Strong
3926,36,M,175.6,84.8,24.4,76,131,47.1,12.2,34,229,Weak
3927,42,M,173.6,75.5,16.1,93,158,57.0,15.9,38,231,Good
3928,22,M,174.0,80.9,23.7,77,136,37.0,4.9,50,195,Weak
3929,21,M,182.2,80.3,16.1,86,134,49.3,15.6,62,242,Good
3930,39,M,170.8,82.5,28.8,70,119,38.4,-3.5,32,182,Weak
3931,44,M,173.5,67.7,11.1,70,131,37.4,11.1,45,210,Average
3932,49,M,179.3,75.8,15.7,90,149,43.8,14.2,41,220,Strong
3933,22,M,165.3,61.0,15.7,80,136,38.3,18.1,44,219,Average
3934,38,M,169.0,72.9,22.9,94,140,41.4,8.8,50,226,Average
3935,27,M,183.1,85.5,27.1,88,157,47.7,6.9,53,223,Weak
3936,21,F,160.6,47.96,27.7,75,118,20.7,19.9,42,162,Good
3937,56,M,169.8,64.78,22.3,70,141,38.0,7.9,32,183,Average
3938,25,M,169.9,78.2,16.9,62,130,57.9,23.2,61,242,Strong
3939,28,M,175.6,72.6,14.3,71,137,46.8,28.8,56,251,Strong
3940,64,M,165.2,77.9,29.0,81,136,38.0,15.2,26,139,Weak
3941,26,F,165.1,56.2,29.1,73,112,24.3,13.9,34,164,Good
3942,43,M,169.5,67.9,15.6,78,135,43.1,16.4,35,226,Average
3943,62,M,171.0,64.9,16.5,68,138,38.0,9.4,39,197,Good
3944,21,M,186.5,73.2,14.6,79,130,43.6,16.0,42,237,Average
3945,42,M,171.1,78.3,22.2,96,151,50.4,16.2,44,232,Strong
3946,22,F,162.3,52.9,20.7,86,152,26.4,22.6,52,202,Strong
3947,22,F,166.3,56.2,23.3,75,125,26.2,20.6,46,174,Strong
3948,53,F,155.0,52.5,26.0,76,131,17.4,14.0,36,150,Average
3949,25,F,166.1,54.5,29.0,74,119,25.2,22.4,42,168,Good
3950,22,M,167.7,66.5,23.1,79,134,34.9,0.7,34,211,Weak
3951,26,F,175.6,62.8,22.0,85,139,34.5,19.0,28,165,Good
3952,49,M,178.9,81.9,20.4,82,134,51.4,19.5,38,217,Good
3953,45,M,174.7,90.3,26.1,79,126,35.7,-10.7,33,201,Weak
3954,42,F,160.0,56.8,39.4,66,98,24.9,-4.1,40,137,Weak
3955,27,M,170.7,72.0,14.0,95,154,54.9,20.6,59,237,Strong
3956,46,F,155.1,62.5,37.7,65,113,24.7,21.0,24,124,Weak
3957,22,F,151.0,67.6,40.0,84,124,30.4,21.1,50,160,Good
3958,26,M,171.1,60.3,19.0,95,155,45.3,17.1,53,215,Strong
3959,21,F,161.7,59.7,31.2,67,112,29.5,22.8,15,181,Weak
3960,53,M,169.0,67.8,18.9,74,138,37.6,7.3,40,194,Average
3961,58,F,163.0,57.9,25.3,85,138,28.2,23.5,33,140,Average
3962,24,M,174.5,71.0,21.8,66,125,38.0,9.6,42,220,Average
3963,21,M,180.0,82.5,17.5,87,131,48.8,7.7,58,155,Average
3964,56,F,158.3,55.8,35.8,92,128,23.0,23.6,20,146,Good
3965,56,F,152.2,64.3,36.0,66,102,19.1,17.7,20,92,Weak
3966,62,M,164.8,78.8,25.6,74,133,50.1,10.0,28,169,Good
3967,25,M,168.2,58.4,15.4,75,135,46.8,7.2,34,190,Weak
3968,37,F,156.6,50.3,23.4,51,106,21.6,18.5,29,133,Average
3969,46,M,165.6,69.58,24.0,84,139,44.0,17.8,33,200,Weak
3970,29,M,174.3,84.3,22.9,66,115,51.6,8.1,56,223,Average
3971,29,M,173.0,73.8,19.9,86,157,47.9,12.6,53,253,Good
3972,24,F,155.4,53.7,28.8,63,110,26.0,24.1,47,191,Strong
3973,31,M,175.8,71.3,18.1,73,128,31.4,15.0,45,198,Average
3974,64,M,171.6,55.5,11.9,80,140,28.4,9.8,21,183,Average
3975,47,F,159.8,47.7,26.3,74,106,26.3,13.0,32,161,Average
3976,53,M,173.1,73.5,21.9,87,144,41.7,5.5,39,198,Average
3977,26,M,183.4,77.8,8.7,81,136,54.1,18.8,55,253,Strong
3978,23,M,171.1,64.8,14.8,83,128,38.2,12.3,55,241,Weak
3979,21,M,175.4,68.1,17.8,63,123,41.3,22.4,47,226,Average
3980,28,M,179.0,80.6,10.7,85,149,49.6,17.7,57,247,Strong
3981,45,M,173.0,65.54,11.9,100,142,59.1,22.7,47,239,Strong
3982,46,F,159.7,49.3,27.2,73,121,19.3,28.2,31,172,Good
3983,30,M,166.8,70.3,17.8,59,89,54.2,19.2,60,234,Strong
3984,58,M,170.6,73.6,25.9,99,151,30.2,14.2,35,176,Weak
3985,22,M,167.2,64.0,18.5,75,111,35.2,14.5,57,200,Good
3986,37,M,173.5,80.6,19.8,68,114,54.2,21.9,50,260,Strong
3987,37,M,166.2,75.6,14.8,73,140,47.3,17.5,49,246,Strong
3988,32,M,165.7,76.6,26.0,97,153,44.3,13.4,49,199,Good
3989,33,M,183.1,75.3,20.7,94,140,31.3,2.5,35,194,Weak
3990,25,M,182.5,71.1,15.6,77,119,51.2,18.6,42,224,Average
3991,24,M,175.3,72.3,15.0,95,152,33.4,23.0,45,240,Average
3992,24,M,183.1,77.6,16.5,78,108,48.0,10.5,51,231,Average
